step,loss,acc,freq_ratio,mean_freq_khz,max_temp_c,throttle_delta,governor,epp
160,1.692854,0.237500,0.526,2875891,91.4,0,performance,performance
161,1.348072,0.337500,0.543,2967125,91.4,0,performance,performance
162,1.507578,0.275000,0.546,2981757,91.2,0,performance,performance
163,1.584687,0.200000,0.536,2929789,91.2,0,performance,performance
164,1.447004,0.287500,0.541,2956572,91.4,0,performance,performance
165,1.323373,0.375000,0.550,3005913,91.2,0,performance,performance
166,1.724443,0.162500,0.522,2849861,91.4,0,performance,performance
167,1.600350,0.262500,0.556,3037736,91.4,0,performance,performance
168,1.460670,0.275000,0.544,2973483,91.4,0,performance,performance
169,1.379763,0.287500,0.516,2816867,91.4,0,performance,performance
170,1.400880,0.287500,0.526,2875578,91.5,0,performance,performance
171,1.284813,0.350000,0.592,3235427,91.2,0,performance,performance
172,1.425797,0.237500,0.541,2955136,91.4,0,performance,performance
173,1.435973,0.262500,0.549,2997910,91.4,0,performance,performance
174,1.552011,0.175000,0.551,3012167,91.2,0,performance,performance
175,1.589288,0.225000,0.509,2781375,91.4,0,performance,performance
176,1.203662,0.287500,0.522,2853534,91.4,0,performance,performance
177,1.652331,0.162500,0.533,2912319,91.4,0,performance,performance
178,1.438967,0.225000,0.538,2937772,91.4,0,performance,performance
179,1.572073,0.162500,0.541,2954764,91.4,0,performance,performance
180,1.592812,0.225000,0.535,2924617,91.4,0,performance,performance
181,1.548878,0.175000,0.548,2991405,91.4,0,performance,performance
182,1.663865,0.262500,0.511,2791310,91.4,0,performance,performance
183,1.310021,0.325000,0.537,2933408,91.4,0,performance,performance
184,1.243593,0.300000,0.526,2871164,91.4,0,performance,performance
185,1.464073,0.250000,0.512,2796381,91.4,0,performance,performance
186,1.571326,0.212500,0.510,2783967,91.4,0,performance,performance
187,1.378983,0.300000,0.501,2734356,91.5,0,performance,performance
188,1.671398,0.162500,0.516,2819021,91.6,0,performance,performance
189,1.482494,0.237500,0.490,2675159,91.8,0,performance,performance
